team,player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Aston-Villa,Cameron Archer,engENG,MF,22,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aston-Villa,Kaine Kesler-Hayden,engENG,"MF,DF",20,3,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aston-Villa,Finley Munroe,engENG,MF,18,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aston-Villa,Jaden Philogene Bidace,engENG,FW,21,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aston-Villa,Lander Emery,engENG,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aston-Villa,Joe Gauci,auAUS,GK,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aston-Villa,Filip Marshall,engENG,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aston-Villa,Tommi O'Reilly,engENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aston-Villa,Sam Proctor,engENG,GK,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aston-Villa,James Wright,engENG,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aston-Villa,Kadan Young,engENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aston-Villa,Oliwier Zych,plPOL,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
