team,player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Fulham,Luke Harris,wlsWAL,MF,18,1,0,75,0.8,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,1,0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33
Fulham,Fodé Ballo-Touré,snSEN,"DF,MF",26,6,0,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fulham,Aleksandar Mitrović,rsSRB,FW,28,1,0,33,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.44,0.44,0.44
Fulham,Marek Rodák,skSVK,GK,26,0,0,,0.0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,
Fulham,Luc De Fougerolles,caCAN,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulham,Matt Dibley-Dias,nzNZL,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulham,Tyrese Francois,auAUS,MF,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulham,Joshua King,engENG,MF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulham,Kevin Mbabu,chSUI,DF,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulham,Kristian Sekularac,chSUI,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulham,Jay Stansfield,engENG,"FW,MF",20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulham,Devan Tanton,coCOL,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
