team,player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Chelsea,Deivid Washington,brBRA,"DF,FW",18,2,0,13,0.1,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,0,1,0.00,0.00,0.00,0.00,0.00,3.23,0.00,3.23,3.23,3.23
Chelsea,Mason Burstow,engENG,FW,19,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chelsea,Joshua Acheampong,engENG,DF,17,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chelsea,Alex Matos,engENG,MF,18,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chelsea,Jimi Tauriainen,engENG,FW,19,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chelsea,Marcus Bettinelli,engENG,GK,31,0,0,,0.0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,
Chelsea,Eddie Beach,wlsWAL,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,Lucas Bergström,fiFIN,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,Joshua Brooking,engENG,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,Leo Castledine,engENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,Ted Curd,engENG,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,Kiano Dyer,engENG,MF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,Tyrique George,engENG,FW,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,Ollie Harrison,engENG,MF,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,Bashir Humphreys,engENG,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,Diego Moreira,ptPOR,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,Ishé Samuels-Smith,engENG,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,Andrey Santos,brBRA,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,Teddy Sharman,engENG,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,Zak Sturge,engENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,Ronnie Stutter,engENG,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
