team,player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Wolverhampton-Wanderers,Owen Hesketh,wlsWAL,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverhampton-Wanderers,Joseph Hodge,ieIRL,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverhampton-Wanderers,Fletcher Holman,engENG,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverhampton-Wanderers,Justin Hubner,idIDN,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverhampton-Wanderers,Tom King,wlsWAL,GK,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverhampton-Wanderers,Noha Lemina,frFRA,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverhampton-Wanderers,Yerson Mosquera,coCOL,DF,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverhampton-Wanderers,Temple Ojinnaka,itITA,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverhampton-Wanderers,Wesley Okoduwa,engENG,FW,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverhampton-Wanderers,Matthew Whittingham,engENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
