team,player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Manchester-United,Altay Bayındır,trTUR,GK,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester-United,Rhys Bennett,engENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester-United,Álvaro Carreras,esESP,"DF,MF",20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester-United,Toby Collyer,engENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester-United,Tom Heaton,engENG,GK,37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester-United,Dean Henderson,engENG,GK,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester-United,Joe Hugill,engENG,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester-United,Louis Jackson,sctSCO,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester-United,Dermot Mee,nirNIR,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester-United,Habeeb Ogunneye,engENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester-United,Radek Vítek,,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
