team,player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Crystal-Palace,David Ozoh,engENG,"MF,DF",18,9,0,156,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Crystal-Palace,Jesurun Rak Sakyi,engENG,"MF,FW",20,6,0,136,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,7,2,18,0.00,0.00,0.00,0.00,0.00,0.28,0.10,0.38,0.28,0.38
Crystal-Palace,James Tomkins,engENG,DF,34,4,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Crystal-Palace,Remi Matthews,engENG,GK,29,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Crystal-Palace,Tayo Adaramola,ieIRL,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal-Palace,Malcolm Ebiowei,engENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal-Palace,John-Kymani Gordon,engENG,"FW,MF",20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal-Palace,Rob Holding,engENG,DF,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal-Palace,Roshaun Mathurin,engENG,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal-Palace,Ademola Ola-Adebomi,engENG,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal-Palace,Luke Plange,engENG,FW,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal-Palace,Jadan Raymond,wlsWAL,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal-Palace,Kaden Rodney,engENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal-Palace,Franco Umeh-Chibueze,ieIRL,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal-Palace,Joseph Whitworth,engENG,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
